Datetime,Water Level (m)
2023-07-17 12:00:00,-8.501
2023-07-17 13:00:00,-8.501
2023-07-17 14:00:00,-8.501
2023-07-17 15:00:00,-8.501
2023-07-17 16:00:00,0.185814
2023-07-17 17:00:00,0.18942532
2023-07-17 18:00:00,0.18327264
2023-07-17 19:00:00,0.17508274
2023-07-17 20:00:00,0.17150319
2023-07-17 21:00:00,0.1705584
2023-07-17 22:00:00,0.17918478
2023-07-17 23:00:00,0.19227499
2023-07-18 00:00:00,0.21177734
2023-07-18 01:00:00,0.22886577
2023-07-18 02:00:00,0.24361043
2023-07-18 03:00:00,0.25288406
2023-07-18 04:00:00,0.2563767
2023-07-18 05:00:00,0.25516573
2023-07-18 06:00:00,0.2486446
2023-07-18 07:00:00,0.24032457
2023-07-18 08:00:00,0.23183236
2023-07-18 09:00:00,0.23050827
2023-07-18 10:00:00,0.23768432
2023-07-18 11:00:00,0.2531429
2023-07-18 12:00:00,0.27386355
2023-07-18 13:00:00,0.2986051
2023-07-18 14:00:00,0.32246092
2023-07-18 15:00:00,0.34148172
2023-07-18 16:00:00,0.3545596
2023-07-18 17:00:00,0.36106485
2023-07-18 18:00:00,0.36133724
2023-07-18 19:00:00,0.35646972
2023-07-18 20:00:00,0.34780684
2023-07-18 21:00:00,0.34096345
2023-07-18 22:00:00,0.34218383
2023-07-18 23:00:00,0.35139674
2023-07-19 00:00:00,0.36544722
2023-07-19 01:00:00,0.38104063
2023-07-19 02:00:00,0.3950843
2023-07-19 03:00:00,0.4053424
2023-07-19 04:00:00,0.41079974
2023-07-19 05:00:00,0.4108611
2023-07-19 06:00:00,0.40802953
2023-07-19 07:00:00,0.40650845
2023-07-19 08:00:00,0.41178283
2023-07-19 09:00:00,0.42642036
2023-07-19 10:00:00,0.45397007
2023-07-19 11:00:00,0.49202392
2023-07-19 12:00:00,0.5371599
2023-07-19 13:00:00,0.5872458
2023-07-19 14:00:00,0.6374659
2023-07-19 15:00:00,0.68145263
2023-07-19 16:00:00,0.7184163
2023-07-19 17:00:00,0.74755627
2023-07-19 18:00:00,0.7695551
2023-07-19 19:00:00,0.7864531
2023-07-19 20:00:00,0.80013806
2023-07-19 21:00:00,0.81264305
2023-07-19 22:00:00,0.8289563
2023-07-19 23:00:00,0.8539309
2023-07-20 00:00:00,0.88669556
2023-07-20 01:00:00,0.92318755
2023-07-20 02:00:00,0.9594411
2023-07-20 03:00:00,0.9905616
2023-07-20 04:00:00,1.0163926
2023-07-20 05:00:00,1.0378919
2023-07-20 06:00:00,1.055204
2023-07-20 07:00:00,1.0684894
2023-07-20 08:00:00,1.0792432
2023-07-20 09:00:00,1.0888753
2023-07-20 10:00:00,1.1018069
2023-07-20 11:00:00,1.1232272
2023-07-20 12:00:00,1.1526423
2023-07-20 13:00:00,1.1850654
2023-07-20 14:00:00,1.2232679
2023-07-20 15:00:00,1.2578164
2023-07-20 16:00:00,1.2854428
2023-07-20 17:00:00,1.3046639
2023-07-20 18:00:00,1.3199294
2023-07-20 19:00:00,1.3309643
2023-07-20 20:00:00,1.338221
2023-07-20 21:00:00,1.3425164
2023-07-20 22:00:00,1.3464866
2023-07-20 23:00:00,1.3549645
2023-07-21 00:00:00,1.3718038
2023-07-21 01:00:00,1.3944471
2023-07-21 02:00:00,1.419484
2023-07-21 03:00:00,1.4411982
2023-07-21 04:00:00,1.4581931
2023-07-21 05:00:00,1.4713333
2023-07-21 06:00:00,1.4796414
2023-07-21 07:00:00,1.4834551
2023-07-21 08:00:00,1.4847045
2023-07-21 09:00:00,1.4837863
2023-07-21 10:00:00,1.4837168
2023-07-21 11:00:00,1.4896796
2023-07-21 12:00:00,1.5030872
2023-07-21 13:00:00,1.527478
2023-07-21 14:00:00,1.5538388
2023-07-21 15:00:00,1.5801208
2023-07-21 16:00:00,1.6007046
2023-07-21 17:00:00,1.6149931
2023-07-21 18:00:00,1.6238741
2023-07-21 19:00:00,1.6290188
2023-07-21 20:00:00,1.6299948
2023-07-21 21:00:00,1.6292506
2023-07-21 22:00:00,1.6282005
2023-07-21 23:00:00,1.6281927
2023-07-22 00:00:00,1.6363522
2023-07-22 01:00:00,1.6528102
2023-07-22 02:00:00,1.6734118
2023-07-22 03:00:00,1.6935549
2023-07-22 04:00:00,1.7090173
2023-07-22 05:00:00,1.7209203
2023-07-22 06:00:00,1.7292532
2023-07-22 07:00:00,1.7334855
2023-07-22 08:00:00,1.7346636
2023-07-22 09:00:00,1.7340426
2023-07-22 10:00:00,1.7329999
2023-07-22 11:00:00,1.7347404
2023-07-22 12:00:00,1.743972
2023-07-22 13:00:00,1.7617542
2023-07-22 14:00:00,1.7851018
2023-07-22 15:00:00,1.8098176
2023-07-22 16:00:00,1.830839
2023-07-22 17:00:00,1.8461986
2023-07-22 18:00:00,1.8566356
2023-07-22 19:00:00,1.8625724
2023-07-22 20:00:00,1.8650784
2023-07-22 21:00:00,1.8645602
2023-07-22 22:00:00,1.8618368
2023-07-22 23:00:00,1.8591791
2023-07-23 00:00:00,1.8596181
2023-07-23 01:00:00,1.8650571
2023-07-23 02:00:00,1.877285
2023-07-23 03:00:00,1.8910533
2023-07-23 04:00:00,1.90372
2023-07-23 05:00:00,1.914192
2023-07-23 06:00:00,1.9213325
2023-07-23 07:00:00,1.9249724
2023-07-23 08:00:00,1.9257975
2023-07-23 09:00:00,1.9241298
2023-07-23 10:00:00,1.9209833
2023-07-23 11:00:00,1.9184989
2023-07-23 12:00:00,1.9203631
